State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Establishments 2021,Employment 2018,Employment 2019,Employment 2020,Employment 2021,2018-2019 Establishments percent change,2019-2020 Establishments percent change,2018-2019 Employment percent change,2019-2020 Employment percent change,2018 population,2019 population,2020 population,,2020 population w 2020 base,2021 population with 2020 base,,2018 employment/population,2019 employment/population,2020 employment/population,,2020 employment/population w 2020 base,2021 employment/population,,2018-2019 employment/population percent change,2019-2020 employment/population percent change,2020-2021 employment/population percent change,,2018-2021 establishments percent change,2019-2021 establishments percent change,,Enterprise Size < 500,Enterprise size <500 employees: Establishments 2018,Enterprise size <500 employees: Establishments 2019,Enterprise size <500 employees: Employment 2018,Enterprise size <500 employees: Employment 2019,Enterprise size <500 employees: 2018 employment/population,Enterprise size <500 employees: 2019 employment/population,Enterprise size <500 employees: 2018-2019 employment/population percent change,Enterprise Size < 20,Enterprise size <20 employees: Establishments 2018,Enterprise size <20 employees: Establishments 2019,Enterprise size <20 employees: Employment 2018,Enterprise size <20 employees: Employment 2019,Enterprise size <20 employees: 2018 employment/population,Enterprise size <20 employees: 2019 employment/population,Enterprise size <20 employees: 2018-2019 employment/population percent change
00,United States,448210,Shoe Stores,01: Total,"23,360","22,569","21,996","18,861","239,501","222,520","211,381","202,047",-0.03386130137,-0.02538880766,-0.0763122416,-0.05269631613,"326,838,199","328,329,953","329,484,123",,"331,511,512","332,031,554",,0.0007327815437,0.0006777328659,0.0006415513988,,0.0006376279325,0.0006085174664,,-0.07512290435,-0.05338602992,-0.04565431444,,-0.1925941781,-0.1642961584,,08: <500 employees,"6,268","5,893","39,861","37,800",0.0001219594286,0.0001151280888,-0.0560132156,05: <20 employees,"4,622","4,356","21,214","19,878",0.00006490673387,0.00006054275529,-0.06723460438
01,Alabama,448210,Shoe Stores,01: Total,370,360,355,331,"3,268","3,457","3,086","3,282",-0.02702702703,-0.01388888889,0.05467168065,-0.12022035,"4,891,628","4,907,965","4,921,532",,"5,031,362","5,049,846",,0.0006680802383,0.0007043652512,0.0006270405232,,0.0006133528059,0.0006499208095,,0.05431235768,-0.1097793054,0.05961985216,,-0.1054054054,-0.08055555556,,08: <500 employees,88,82,638,600,0.0001304269254,0.0001222502605,-0.06269153998,05: <20 employees,66,61,349,319,0.0000713463902,0.00006499638852,-0.08900242407
02,Alaska,448210,Shoe Stores,01: Total,35,36,35,27,246,259,225,196,0.02857142857,-0.02777777778,0.05019305019,-0.1511111111,"736,624","733,603","731,158",,"732,923","734,182",,0.0003339559938,0.0003530519913,0.0003077310239,,0.0003069899567,0.0002669637774,,0.05718117913,-0.1283691029,-0.1303826995,,-0.2285714286,-0.25,,08: <500 employees,13,14,109,122,0.0001479723713,0.0001663024824,0.1238752275,05: <20 employees,8,9,57,64,0.00007738004735,0.00008724064651,0.1274307718
04,Arizona,448210,Shoe Stores,01: Total,423,393,385,315,"4,117","3,522","3,341","3,046",-0.07092198582,-0.0203562341,-0.1689381034,-0.05417539659,"7,164,228","7,291,843","7,421,401",,"7,179,943","7,264,877",,0.0005746606613,0.0004830054624,0.0004501845406,,0.0004653240283,0.0004192775735,,-0.1594944722,-0.06795145052,-0.09895567837,,-0.2553191489,-0.1984732824,,08: <500 employees,89,75,481,439,0.00006713912511,0.00006020425837,-0.1032909905,05: <20 employees,69,54,273,249,0.00003810598993,0.00003414774564,-0.1038745955
05,Arkansas,448210,Shoe Stores,01: Total,199,199,194,161,"1,548","1,647","1,468","1,492",0,-0.02512562814,0.06010928962,-0.1219346049,"3,012,161","3,020,985","3,030,522",,"3,014,195","3,028,122",,0.0005139167528,0.000545186421,0.0004844049969,,0.000487028875,0.0004927146264,,0.0608457849,-0.1114874138,0.01167436199,,-0.1909547739,-0.1909547739,,08: <500 employees,50,49,265,260,0.0000879767051,0.00008606464448,-0.0217337148,05: <20 employees,35,34,144,130,0.00004780620956,0.00004303232224,-0.0998591473
06,California,448210,Shoe Stores,01: Total,"2,802","2,676","2,603","2,209","32,991","29,935","28,040","29,455",-0.04496788009,-0.02727952167,-0.102087857,-0.06758202568,"39,437,463","39,437,610","39,368,078",,"39,501,653","39,142,991",,0.0008365396121,0.0007590470112,0.0007122521958,,0.0007098437121,0.0007524974267,,-0.09263470583,-0.06164942978,0.06008888131,,-0.2116345468,-0.1745142003,,08: <500 employees,854,804,"4,899","4,581",0.0001242219866,0.0001161581546,-0.06491469182,05: <20 employees,628,586,"2,728","2,593",0.00006917280658,0.00006574942041,-0.04949034647
08,Colorado,448210,Shoe Stores,01: Total,338,348,338,293,"3,049","3,063","2,886","2,610",0.02958579882,-0.02873563218,0.004570682338,-0.06133056133,"5,697,155","5,758,486","5,807,719",,"5,784,865","5,811,297",,0.0005351794009,0.0005319106446,0.0004969248684,,0.0004988880467,0.0004491252125,,-0.006107776891,-0.06577378454,-0.09974749744,,-0.1331360947,-0.158045977,,08: <500 employees,107,108,698,720,0.0001225172915,0.0001250328645,0.02053239167,05: <20 employees,87,88,458,458,0.00008039100218,0.00007953479439,-0.01065054252
09,Connecticut,448210,Shoe Stores,01: Total,248,240,240,198,"2,503","2,364","2,277","2,047",-0.03225806452,0,-0.05879864636,-0.03820816864,"3,574,561","3,566,022","3,557,006",,"3,597,362","3,623,355",,0.0007002258459,0.0006629235602,0.0006401451108,,0.0006329638218,0.0005649460238,,-0.05327179214,-0.03436059716,-0.1074592191,,-0.2016129032,-0.175,,08: <500 employees,49,45,447,444,0.0001250503209,0.0001245084859,-0.00433293521,05: <20 employees,37,34,205,199,0.00005734969973,0.00005580447905,-0.02694383197
10,Delaware,448210,Shoe Stores,01: Total,94,87,86,82,909,810,799,"1,043",-0.07446808511,-0.01149425287,-0.1222222222,-0.01376720901,"966,985","976,668","986,809",,"992,114","1,004,807",,0.0009400352642,0.0008293504036,0.0008096804954,,0.000805350998,0.001038010285,,-0.1177454345,-0.0237172468,0.2888917841,,-0.1276595745,-0.05747126437,,08: <500 employees,21,18,88,69,0.00009100451403,0.00007064836772,-0.2236828198,05: <20 employees,16,15,51,45,0.00005274125245,0.00004607502242,-0.1263949891
11,District of Columbia,448210,Shoe Stores,01: Total,56,50,48,40,604,439,400,373,-0.1071428571,-0.04,-0.3758542141,-0.0975,"704,147","708,253","712,816",,"670,868","668,791",,0.0008577754361,0.0006198350025,0.0005611546318,,0.0005962424799,0.0005577228162,,-0.2773924545,-0.0946709535,-0.06460402428,,-0.2857142857,-0.2,,08: <500 employees,27,26,109,122,0.0001547972227,0.0001722548298,0.112777263,05: <20 employees,14,13,49,36,0.00006958774233,0.00005082929405,-0.2695654098
12,Florida,448210,Shoe Stores,01: Total,"1,711","1,639","1,586","1,354","18,553","17,057","16,282","15,225",-0.04208065459,-0.03233679073,-0.08770592719,-0.04759857511,"21,254,926","21,492,056","21,733,312",,"21,589,602","21,828,069",,0.0008728800091,0.0007936420787,0.0007491725145,,0.0007541593402,0.0006974964208,,-0.09077757485,-0.05603226618,-0.07513388275,,-0.2086499123,-0.1738865162,,08: <500 employees,469,409,"2,660","2,356",0.0001251474599,0.0001096218994,-0.1240581357,05: <20 employees,343,321,"1,376","1,322",0.00006473793416,0.00006151109973,-0.0498445691
13,Georgia,448210,Shoe Stores,01: Total,818,782,781,696,"8,299","7,909","7,697","7,654",-0.04400977995,-0.001278772379,-0.04931091162,-0.02754319865,"10,519,389","10,628,020","10,710,017",,"10,729,828","10,788,029",,0.0007889241476,0.0007441649526,0.0007186729956,,0.0007173460749,0.0007094901209,,-0.05673447198,-0.03425578829,-0.01095141413,,-0.1491442543,-0.1099744246,,08: <500 employees,160,138,"1,257","1,137",0.0001194936322,0.0001069813568,-0.1047108129,05: <20 employees,108,99,576,532,0.00005475603193,0.00005005636045,-0.08582929252
